企业名称,社会信用号,工商注册地在南沙区,税务征管关系在南沙区,统计关系在南沙区,具有独立法人资格,有健全的财务制度,实行独立核算,工商注册地址在2017年间迁入南沙区,具有高新技术企业资质,在2017年纳入南沙区规模以上企业统计
巴斯夫聚氨酯(中国)有限公司,91440115708216261R,广州市南沙区西部工业区环市大道南４０８号,,,有限责任公司(外商合资),,,,,
霸王（广州）有限公司,91440115771198203N,广州市南沙区丰泽东路106号（自编1号楼）13层1301房自编X1301-A767号（仅限办公用途）（JM）,,,有限责任公司(台港澳法人独资),,,,,
广东奥飞数据科技股份有限公司,91440101767653410D,广州市南沙区进港大道80号421房,,,股份有限公司,,,,,
广船国际有限公司,914401017889253316,广州市南沙区珠江管理区西路68号首层,,,有限责任公司(外商投资企业投资),,,,全国高新企业认证,
广东晶科电子股份有限公司,91440115791036885U,广州市南沙区环市大道南33号,,,股份有限公司(台港澳与境内合资、未上市),,,,,
广汽丰田汽车有限公司,91440101717852200L,广州市南沙区黄阁镇市南大道8号,,,有限责任公司(台港澳与境内合资),,,,全国高新企业认证,
广州宏和精密机械有限公司,91440101579997718J,广州市南沙区东涌镇自编太石中心村路自编186号101,,,有限责任公司(自然人投资或控股),,,,全国高新企业认证,
广州华汇生物实业有限公司,91440101668125196C,广州市南沙区黄阁镇梅山工业区内工业路19号之28房,,,有限责任公司(外商投资企业投资),,,,,
广州朗晴电动车有限公司,91440115718199311D,广州市南沙区东涌镇太石村,,,有限责任公司(自然人投资或控股),,,,,
广州岭南电缆股份有限公司,91440101618705985B,广州市南沙区榄核镇人绿路163号自编一栋（12号研发大楼）、自编二栋（6号厂房及立式交联电缆车间）、自编四栋（4号厂房）、自编五栋（2号厂房）、自编六栋（1号厂房）自编七栋（5号厂房）,,,其他股份有限公司(非上市),,,,,
广州瑞远新材料股份有限公司,914401010525651931,广州市南沙区东涌镇吉祥西路55号101,,,其他股份有限公司(非上市),,,,,
广州市美柯船舶电气设备有限公司,914401156640370416,广州市南沙区榄核镇广珠路132号厂房及综合楼,,,其他有限责任公司,,,,,
广州腾世智能控制系统有限公司,9144011508271118XH,广州市南沙区东涌镇南涌村启新路46号404房,,,有限责任公司(自然人投资或控股),,,,,
广州王老吉大健康产业有限公司,914401015915128836,广州市南沙区双山大道3号106（不可作厂房使用）,,,有限责任公司(法人独资),,,,全国高新企业认证,
广州威万事家居股份有限公司,9144011577565945XM,广州市南沙区榄核镇榄张路70号A101、C101,,,其他股份有限公司(非上市),,,,,
广州雅创环保科技有限公司,9144011558760251XM,广州市南沙区丰泽东路106号（自编1号楼）13层1301房自编X1301-B748号（JM）（仅限办公用途）,,,有限责任公司(自然人投资或控股),,,,全国高新企业认证,
广州新尚艺术股份有限公司,91440111771174279A,广州市南沙区黄阁镇小虎村东一路1号以东200米（临时经营场所）,,,其他股份有限公司(非上市),,,,,
广州造纸股份有限公司,91440101618413376W,广州市南沙区珠江街新广一路29号,,,股份有限公司(台港澳与境内合资、未上市),,,,全国高新企业认证,
广州紫川电子科技有限公司,914401153401414169,广州市南沙区进港大道80号1617-1618房（仅限办公用途）,,,有限责任公司(自然人投资或控股),,,,全国高新企业认证,
汇通宝支付有限责任公司,91440101728221199E,广州市南沙区进港大道24号10楼左之三房,,,有限责任公司(法人独资),,,,,
